Name,Lat,Long,Properties,,,
Goober Peas Country Store,36.241051,-81.656479,Local,,,
La Tinendita,36.227790,-81.632500,Local,,,
Food Lion,36.227020,-81.610390,Chain,,,
La Monarca Tienda Mexicana,36.227540,-81.632740,Local,,,
Lowes Foods of Boone,36.219836,-81.6610761,Chain,,,
Tres Reyes,36.219017,-81.683719,Local,,,
The Market (Bookstore),36.2157167,-81.6794356,Chain,,,
New Market Mall,36.2192422,-81.6593947,Local,,,
The Market- Trivette,36.2132981,-81.6831511,Chain,,,
Watauga County Farmers' Market,36.2083869,-81.6696884,Local,,,
Art of Oil,36.202303,-81.6593316,Local,,,
Walmart Supercenter,36.1970217,-81.6600293,Chain,,,
Food Lion,36.1984096,-81.6580262,Chain,,,
J & M Produce,36.1609884,-81.6455478,Local,,,
Food Lion,36.1384509,-81.6701266,Chain,,,
Tomato Shack Country Store,36.222156,-81.699784,Chain,,,